Geneid	control_1	control_2	control_3	L1OE_1	L1OE_2	L1OE_3
ENSG00000000155	9	10	8	8	11	8
ENSG00000000156	14	12	14	17	14	15
ENSG00000000157	9	9	10	7	10	9
ENSG00000000158	23	24	21	22	22	25
ENSG00000000159	10	11	13	12	10	12
ENSG00000000160	18	13	14	14	15	13
ENSG00000000161	9	13	14	11	11	9
ENSG00000000162	15	14	14	13	15	15
ENSG00000000163	8	8	10	7	7	8
ENSG00000000164	10	8	8	6	4	3
ENSG00000000165	12	8	9	9	10	10
ENSG00000000166	14	16	15	17	14	14
ENSG00000000167	11	11	12	10	10	11
ENSG00000000168	6	7	8	6	7	7
ENSG00000000169	9	10	12	9	10	9
ENSG00000000170	11	15	12	11	10	12
ENSG00000000171	12	10	15	11	11	14
ENSG00000000172	17	14	14	12	13	13
ENSG00000000173	13	12	13	15	12	11
ENSG00000000174	10	12	13	13	10	11
ENSG00000000175	5	6	7	3	7	4
ENSG00000000176	14	12	14	13	14	13
ENSG00000000177	19	20	22	22	23	19
ENSG00000000178	8	12	10	11	7	8
ENSG00000000179	14	9	10	7	9	9
ENSG00000000180	15	17	16	16	13	13
ENSG00000000181	5	3	3	4	4	5
ENSG00000000182	12	11	9	11	11	10
ENSG00000000183	21	20	24	21	21	19
ENSG00000000184	10	11	12	12	9	9
ENSG00000000185	11	10	13	11	11	12
ENSG00000000186	10	7	5	6	8	6
ENSG00000000187	8	9	8	8	10	11
ENSG00000000188	19	16	15	15	17	16
ENSG00000000189	10	10	6	9	9	10
ENSG00000000190	5	4	5	5	4	5
ENSG00000000191	8	8	7	7	9	8
ENSG00000000192	16	15	17	15	17	17
ENSG00000000193	14	16	15	18	15	14
ENSG00000000194	8	9	9	7	10	10
ENSG00000000195	29	24	24	26	24	26
ENSG00000000196	15	17	14	11	11	7
ENSG00000000197	2	3	1	1	5	4
ENSG00000000198	15	15	15	13	14	14
ENSG00000000199	10	8	9	11	10	12
ENSG00000000200	15	14	14	16	14	17
ENSG00000000201	14	16	16	17	17	15
ENSG00000000202	7	5	6	7	5	6
ENSG00000000203	9	13	8	8	9	11
ENSG00000000204	11	12	11	11	11	10
ENSG00000000205	10	10	10	10	9	10
ENSG00000000206	14	10	10	11	14	10
ENSG00000000207	10	8	9	8	8	7
ENSG00000000208	14	12	11	11	15	11
ENSG00000000209	14	13	15	14	12	14
ENSG00000000210	10	8	11	9	12	9
ENSG00000000211	14	19	14	17	15	15
ENSG00000000212	9	8	9	8	10	10
ENSG00000000213	11	8	7	7	9	7
ENSG00000000214	9	6	10	9	6	9
ENSG00000000215	9	8	8	8	7	6
ENSG00000000216	14	15	13	16	16	13
ENSG00000000217	13	12	13	14	13	10
ENSG00000000218	11	6	6	8	8	9
ENSG00000000219	15	14	12	14	12	12
ENSG00000000220	12	9	11	14	10	13
ENSG00000000221	5	7	6	5	7	9
ENSG00000000222	11	11	12	10	11	14
ENSG00000000223	5	6	6	13	12	14
ENSG00000000224	26	23	26	23	23	27
ENSG00000000225	5	8	6	7	8	5
ENSG00000000226	13	15	14	13	14	14
ENSG00000000227	22	21	20	20	19	22
ENSG00000000228	6	10	6	7	8	9
ENSG00000000229	7	6	8	9	7	6
ENSG00000000230	16	16	16	18	16	16
ENSG00000000231	4	4	5	5	6	6
ENSG00000000232	6	6	6	6	7	6
ENSG00000000233	5	8	5	5	10	6
ENSG00000000234	16	15	10	11	10	11
ENSG00000000235	19	17	17	17	20	18
ENSG00000000236	8	9	8	6	6	10
ENSG00000000237	15	13	14	16	16	15
ENSG00000000238	17	19	16	16	20	19
ENSG00000000239	14	13	16	13	14	15
ENSG00000000240	10	7	8	8	6	6
ENSG00000000241	29	25	26	27	26	25
ENSG00000000242	10	13	10	10	9	8
ENSG00000000243	13	10	10	9	11	12
ENSG00000000244	18	16	15	16	18	17
ENSG00000000245	15	13	12	14	12	16
ENSG00000000246	12	9	13	5	5	4
ENSG00000000247	16	19	17	16	16	17
ENSG00000000248	10	13	12	12	11	11
ENSG00000000249	16	15	13	13	13	15
ENSG00000000250	17	16	16	17	20	17
ENSG00000000251	4	1	1	4	0	2
ENSG00000000252	11	11	14	11	11	11
ENSG00000000253	9	11	12	12	11	12
ENSG00000000254	12	12	14	13	10	12
ENSG00000000255	7	5	7	7	5	8
ENSG00000000256	11	12	13	12	11	13
ENSG00000000257	14	13	15	16	14	14
ENSG00000000258	5	7	3	4	3	2
ENSG00000000259	18	21	18	8	8	7
ENSG00000000260	7	6	6	10	13	14
ENSG00000000261	16	14	17	18	15	14
ENSG00000000262	8	6	7	9	9	6
ENSG00000000263	10	11	10	11	8	10
ENSG00000000264	23	24	25	25	23	24
ENSG00000000265	11	11	12	10	11	8
ENSG00000000266	12	14	14	12	14	13
ENSG00000000267	16	18	15	15	16	15
ENSG00000000268	24	18	22	19	19	20
ENSG00000000269	13	14	14	16	13	12
ENSG00000000270	11	10	11	12	13	12
ENSG00000000271	12	12	14	11	11	12
ENSG00000000272	12	11	8	8	11	11
ENSG00000000273	10	11	10	11	10	12
ENSG00000000274	12	11	13	26	24	24
ENSG00000000275	8	7	9	6	6	8
ENSG00000000276	7	7	8	8	10	6
ENSG00000000277	18	18	13	5	3	5
ENSG00000000278	16	17	15	15	14	16
ENSG00000000279	11	13	9	11	10	11
ENSG00000000280	12	9	9	13	11	9
ENSG00000000281	11	10	13	12	10	11
ENSG00000000282	8	11	9	11	10	11
ENSG00000000283	16	15	16	17	16	18
ENSG00000000284	16	13	15	27	27	28
ENSG00000000285	20	19	22	18	22	23
ENSG00000000286	12	12	13	10	10	13
ENSG00000000287	7	7	7	8	9	8
ENSG00000000288	12	13	16	15	12	19
ENSG00000000289	15	13	15	14	14	14
ENSG00000000290	16	12	10	10	12	14
ENSG00000000291	6	7	6	8	6	7
ENSG00000000292	9	10	11	12	8	12
ENSG00000000293	6	6	9	8	5	7
ENSG00000000294	6	4	6	5	9	3
ENSG00000000295	15	12	13	8	8	8
ENSG00000000296	16	15	14	15	15	16
ENSG00000000297	13	13	10	10	12	9
ENSG00000000298	9	10	9	13	10	11
ENSG00000000299	11	9	9	7	11	12
ENSG00000000300	14	13	13	13	11	15
ENSG00000000301	6	10	8	8	9	8
ENSG00000000302	9	9	7	14	15	16
ENSG00000000303	1	2	2	5	2	4
ENSG00000000304	17	13	13	14	14	12
ENSG00000000305	7	7	8	5	5	5
ENSG00000000306	10	8	9	9	11	12
ENSG00000000307	16	13	10	10	11	13
ENSG00000000308	9	9	9	9	11	13
ENSG00000000309	11	11	10	9	10	12
ENSG00000000310	11	11	14	5	3	2
ENSG00000000311	8	7	7	7	9	8
ENSG00000000312	12	14	13	13	14	14
ENSG00000000313	13	12	12	12	14	15
ENSG00000000314	19	19	20	18	19	18
ENSG00000000315	12	14	10	9	14	12
ENSG00000000316	20	18	15	15	17	16
ENSG00000000317	17	16	16	15	14	17
ENSG00000000318	15	15	13	13	13	14
ENSG00000000319	7	8	7	7	3	3
ENSG00000000320	17	15	14	43	43	43
ENSG00000000321	9	7	8	9	11	11
ENSG00000000322	18	20	21	19	18	20
ENSG00000000323	6	9	6	7	6	6
ENSG00000000324	8	7	10	8	8	8
ENSG00000000325	5	6	7	5	5	6
ENSG00000000326	11	14	9	11	12	11
ENSG00000000327	14	14	15	15	16	14
ENSG00000000328	7	4	6	4	4	4
ENSG00000000329	9	12	9	11	14	14
ENSG00000000330	8	10	10	10	9	10
ENSG00000000331	14	16	14	16	12	14
ENSG00000000332	16	16	17	14	15	15
ENSG00000000333	20	20	18	36	39	38
ENSG00000000334	11	10	11	10	12	13
ENSG00000000335	10	10	11	9	9	7
ENSG00000000336	13	9	8	9	12	9
ENSG00000000337	13	14	14	12	14	13
ENSG00000000338	12	11	10	11	12	11
ENSG00000000339	8	8	9	12	9	8
ENSG00000000340	8	7	7	7	7	8
ENSG00000000341	4	5	4	4	4	4
ENSG00000000342	15	16	15	5	5	4
ENSG00000000343	16	17	19	18	16	15
ENSG00000000344	15	17	13	14	15	17
ENSG00000000345	21	18	21	18	18	19
ENSG00000000346	8	8	7	10	12	11
ENSG00000000347	7	5	4	7	7	6
ENSG00000000348	8	9	10	11	9	12
ENSG00000000349	11	10	12	4	3	4
ENSG00000000350	15	15	17	39	40	41
ENSG00000000351	11	11	10	6	5	5
ENSG00000000352	11	12	15	13	13	14
ENSG00000000353	10	10	9	9	8	8
ENSG00000000354	14	13	14	14	13	13
ENSG00000000355	5	3	6	4	4	4
ENSG00000000356	23	21	22	24	21	22
ENSG00000000357	4	2	5	2	5	4
ENSG00000000358	10	13	10	10	9	10
ENSG00000000359	16	18	16	18	18	18
ENSG00000000360	15	14	15	14	16	12
ENSG00000000361	11	14	8	11	10	11
ENSG00000000362	9	8	11	11	10	12
ENSG00000000363	8	12	8	8	9	8
ENSG00000000364	11	11	12	10	12	12
ENSG00000000365	5	6	7	4	5	8
ENSG00000000366	7	11	6	7	7	8
ENSG00000000367	11	8	9	9	6	8
ENSG00000000368	16	20	17	16	20	15
ENSG00000000369	15	17	12	14	14	15
ENSG00000000370	14	15	19	15	18	17
ENSG00000000371	8	10	8	10	8	7
ENSG00000000372	13	10	12	11	12	10
ENSG00000000373	8	8	9	8	11	8
ENSG00000000374	16	21	18	17	17	19
ENSG00000000375	10	8	7	7	6	6
ENSG00000000376	8	7	10	12	6	6
ENSG00000000377	16	16	14	14	14	15
ENSG00000000378	13	14	13	13	16	13
ENSG00000000379	16	13	15	12	13	12
ENSG00000000380	13	14	11	13	14	13
ENSG00000000381	12	14	17	8	7	7
ENSG00000000382	6	6	8	9	7	10
ENSG00000000383	19	20	20	21	21	20
ENSG00000000384	12	11	14	11	16	10
ENSG00000000385	10	12	10	7	5	5
ENSG00000000386	31	33	33	31	31	34
ENSG00000000387	15	16	17	19	17	16
ENSG00000000388	9	9	7	7	9	9
ENSG00000000389	11	12	11	13	12	12
ENSG00000000390	9	8	9	9	11	11
ENSG00000000391	12	9	10	11	12	12
ENSG00000000392	15	15	16	17	17	15
ENSG00000000393	18	16	17	15	17	19
ENSG00000000394	7	6	9	5	4	4
ENSG00000000395	21	19	19	7	8	9
ENSG00000000396	20	21	19	19	20	21
ENSG00000000397	16	17	18	17	18	16
ENSG00000000398	8	9	11	8	9	10
ENSG00000000399	6	5	5	5	7	5
ENSG00000000400	14	13	15	15	16	16
ENSG00000000401	17	17	16	18	17	19
ENSG00000000402	21	18	17	18	17	19
ENSG00000000403	10	11	11	4	3	4
ENSG00000000404	10	12	11	10	13	12
ENSG00000000405	22	22	22	23	24	23
ENSG00000000406	7	6	4	3	6	5
ENSG00000000407	19	22	20	19	20	24
ENSG00000000408	17	13	15	28	28	27
ENSG00000000409	6	9	5	7	6	7
ENSG00000000410	11	12	11	13	12	16
ENSG00000000411	10	15	15	13	10	11
ENSG00000000412	5	5	5	4	5	6
ENSG00000000413	4	4	3	3	3	4
ENSG00000000414	17	13	12	14	14	12
ENSG00000000415	10	11	10	8	10	10
ENSG00000000416	10	6	9	7	11	8
ENSG00000000417	12	13	14	14	14	14
ENSG00000000418	11	12	13	10	12	11
ENSG00000000419	17	16	13	15	14	16
ENSG00000000420	10	9	10	11	11	10
ENSG00000000421	11	13	14	9	11	12
ENSG00000000422	19	20	19	21	18	17
ENSG00000000423	14	14	14	13	14	15
ENSG00000000424	24	25	27	24	26	29
ENSG00000000425	9	8	10	8	10	10
ENSG00000000426	10	10	8	4	5	7
ENSG00000000427	7	8	6	7	10	9
ENSG00000000428	13	12	9	14	11	9
ENSG00000000429	11	12	10	10	12	15
ENSG00000000430	11	14	13	13	16	14
ENSG00000000431	6	6	7	10	12	13
ENSG00000000432	10	11	10	12	11	12
ENSG00000000433	11	12	14	12	11	11
ENSG00000000434	18	17	19	20	15	17
ENSG00000000435	15	17	17	17	15	16
ENSG00000000436	9	12	6	8	8	13
ENSG00000000437	17	16	14	14	13	13
ENSG00000000438	8	9	11	7	11	7
ENSG00000000439	19	19	19	21	20	19
ENSG00000000440	18	17	17	17	16	19
ENSG00000000441	11	11	11	10	11	8
ENSG00000000442	20	22	23	19	22	23
ENSG00000000443	10	9	10	10	9	10
ENSG00000000444	11	10	11	10	11	13
ENSG00000000445	8	7	6	8	10	8
ENSG00000000446	6	9	5	6	5	5
ENSG00000000447	15	17	18	17	19	17
ENSG00000000448	18	16	16	15	18	17
ENSG00000000449	16	13	11	18	19	15
ENSG00000000450	18	18	18	18	19	18
ENSG00000000451	20	20	21	19	21	20
ENSG00000000452	17	16	14	14	15	13
ENSG00000000453	20	16	17	17	15	19
ENSG00000000454	13	10	11	9	9	9
ENSG00000000455	20	16	15	48	46	47
ENSG00000000456	15	15	16	14	16	16
ENSG00000000457	10	10	12	11	9	11
ENSG00000000458	8	11	9	10	8	9
ENSG00000000459	8	11	10	9	9	9
ENSG00000000460	15	15	17	16	15	14
ENSG00000000461	9	7	6	11	7	10
ENSG00000000462	11	9	8	9	9	9
ENSG00000000463	15	14	16	14	18	14
ENSG00000000464	17	17	13	13	15	13
ENSG00000000465	8	5	9	4	4	7
ENSG00000000466	12	11	14	11	14	10
ENSG00000000467	11	10	9	9	10	10
ENSG00000000468	18	15	15	15	17	18
ENSG00000000469	15	15	16	13	13	14
ENSG00000000470	7	9	8	13	8	8
ENSG00000000471	15	12	10	11	10	11
ENSG00000000472	10	10	12	11	11	11
ENSG00000000473	12	11	13	10	10	12
ENSG00000000474	21	21	21	24	22	23
ENSG00000000475	6	7	6	5	7	5
ENSG00000000476	14	14	14	15	15	13
ENSG00000000477	10	8	11	9	15	10
ENSG00000000478	14	13	10	11	11	12
ENSG00000000479	11	13	8	9	9	10
ENSG00000000480	15	16	16	5	6	6
ENSG00000000481	11	15	12	13	14	11
ENSG00000000482	15	15	16	14	15	14
ENSG00000000483	10	12	9	11	11	11
ENSG00000000484	9	10	10	10	9	9
ENSG00000000485	14	14	14	15	12	13
ENSG00000000486	16	14	17	13	13	15
ENSG00000000487	14	11	11	12	12	10
ENSG00000000488	12	14	13	13	14	12
ENSG00000000489	9	10	10	9	10	11
ENSG00000000490	10	8	7	8	8	8
ENSG00000000491	11	11	11	14	13	13
ENSG00000000492	13	13	13	12	15	15
ENSG00000000493	9	8	7	9	7	10
ENSG00000000494	15	16	17	18	16	18
ENSG00000000495	16	17	19	16	17	15
ENSG00000000496	8	7	8	8	6	11
ENSG00000000497	11	13	11	9	6	6
ENSG00000000498	5	6	9	7	7	6
ENSG00000000499	4	8	8	6	5	5
ENSG00000000500	15	17	15	17	15	16
ENSG00000000501	14	17	16	14	15	16
ENSG00000000502	8	7	4	6	6	5
ENSG00000000503	8	8	7	7	9	8
ENSG00000000504	10	11	14	13	14	12
ENSG00000000505	13	12	10	22	21	23
ENSG00000000506	4	4	4	1	5	5
ENSG00000000507	10	12	10	10	10	11
ENSG00000000508	8	8	12	9	9	9
ENSG00000000509	10	7	8	9	7	7
ENSG00000000510	12	10	12	9	9	12
ENSG00000000511	16	13	15	14	13	14
ENSG00000000512	9	8	7	8	7	7
ENSG00000000513	19	16	16	18	16	17
ENSG00000000514	5	6	9	6	6	8
ENSG00000000515	6	8	8	9	8	7
ENSG00000000516	11	11	11	10	12	13
ENSG00000000517	10	12	10	8	9	13
ENSG00000000518	9	10	10	11	10	9
ENSG00000000519	26	28	25	27	27	24
ENSG00000000520	8	6	8	6	5	8
ENSG00000000521	8	10	9	10	10	8
ENSG00000000522	10	8	8	7	8	6
ENSG00000000523	8	7	9	8	8	9
ENSG00000000524	12	14	14	13	12	15
ENSG00000000525	8	7	11	9	11	10
ENSG00000000526	10	9	10	8	11	12
ENSG00000000527	13	15	15	13	15	15
ENSG00000000528	9	10	9	7	7	10
ENSG00000000529	5	4	5	5	5	6
ENSG00000000530	13	12	13	15	10	12
ENSG00000000531	16	17	13	15	13	13
ENSG00000000532	21	20	20	11	12	13
ENSG00000000533	11	9	8	8	10	8
ENSG00000000534	17	19	18	17	16	17
ENSG00000000535	20	19	19	21	20	18
ENSG00000000536	16	18	18	17	21	17
ENSG00000000537	6	8	9	8	8	7
ENSG00000000538	12	13	11	12	11	11
ENSG00000000539	10	13	13	10	13	14
ENSG00000000540	10	9	7	14	9	7
ENSG00000000541	18	19	18	18	16	16
ENSG00000000542	14	16	17	16	16	16
ENSG00000000543	10	10	11	9	10	9
ENSG00000000544	16	17	17	20	18	17
ENSG00000000545	8	7	7	8	9	7
ENSG00000000546	9	9	14	9	11	9
ENSG00000000547	11	11	11	9	10	4
ENSG00000000548	14	13	13	14	13	14
ENSG00000000549	9	8	10	8	9	10
ENSG00000000550	18	16	15	18	17	17
ENSG00000000551	9	7	7	9	6	9
ENSG00000000552	6	5	7	5	4	6
ENSG00000000553	12	14	13	15	17	13
ENSG00000000554	14	14	14	14	15	16
ENSG00000000555	17	14	15	15	17	14
ENSG00000000556	11	11	16	12	13	14
ENSG00000000557	9	9	8	12	8	9
ENSG00000000558	6	6	6	5	5	6
ENSG00000000559	12	14	12	11	10	12
ENSG00000000560	10	10	13	10	10	8
ENSG00000000561	3	4	6	5	7	3
ENSG00000000562	25	22	23	22	23	21
ENSG00000000563	11	11	11	12	13	12
ENSG00000000564	13	12	19	13	13	12
ENSG00000000565	15	12	14	14	12	12
ENSG00000000566	10	7	9	9	8	8
ENSG00000000567	13	14	14	13	14	14
ENSG00000000568	7	7	8	6	7	9
ENSG00000000569	18	15	14	16	15	20
ENSG00000000570	9	12	11	10	9	10
ENSG00000000571	7	7	6	8	7	8
ENSG00000000572	14	14	13	13	12	16
ENSG00000000573	14	13	13	15	15	13
ENSG00000000574	18	21	19	19	20	20
ENSG00000000575	8	12	8	11	9	10
ENSG00000000576	12	12	11	13	11	11
ENSG00000000577	8	8	9	11	7	7
ENSG00000000578	25	20	20	20	20	19
ENSG00000000579	9	10	9	11	9	10
ENSG00000000580	15	14	14	16	15	16
ENSG00000000581	5	6	4	5	6	4
ENSG00000000582	13	11	12	13	12	14
ENSG00000000583	14	15	13	16	18	18
ENSG00000000584	9	10	9	10	9	10
ENSG00000000585	21	22	22	24	22	23
ENSG00000000586	16	17	16	44	42	45
ENSG00000000587	10	10	8	8	11	8
ENSG00000000588	6	7	8	8	8	9
ENSG00000000589	5	5	5	5	8	6
ENSG00000000590	11	13	12	4	3	5
ENSG00000000591	12	13	13	13	13	13
ENSG00000000592	8	10	9	10	11	10
ENSG00000000593	11	15	11	9	12	11
ENSG00000000594	5	6	4	3	8	4
ENSG00000000595	11	7	8	9	9	8
ENSG00000000596	12	9	10	10	15	11
ENSG00000000597	11	7	9	7	8	9
ENSG00000000598	14	12	14	15	12	12
ENSG00000000599	24	24	23	45	47	48
ENSG00000000600	15	14	17	15	14	15
ENSG00000000601	7	5	10	5	7	5
ENSG00000000602	13	13	13	11	13	11
ENSG00000000603	12	14	14	11	11	13
ENSG00000000604	12	13	15	15	14	14
ENSG00000000605	6	7	11	5	7	10
ENSG00000000606	16	14	15	45	44	42
ENSG00000000607	6	3	3	3	2	5
ENSG00000000608	10	13	12	13	12	11
ENSG00000000609	12	14	13	12	10	13
ENSG00000000610	11	12	16	32	30	32
ENSG00000000611	8	9	9	9	10	11
ENSG00000000612	13	15	12	13	10	14
ENSG00000000613	8	7	6	6	9	7
ENSG00000000614	14	14	12	14	15	15
ENSG00000000615	14	12	15	12	13	13
ENSG00000000616	8	7	6	5	8	8
ENSG00000000617	15	13	12	16	13	13
ENSG00000000618	10	11	9	9	9	9
ENSG00000000619	17	19	16	17	20	19
ENSG00000000620	10	10	10	11	8	9
ENSG00000000621	10	10	10	12	11	10
ENSG00000000622	4	7	5	10	12	9
ENSG00000000623	14	10	11	14	11	11
ENSG00000000624	12	13	13	10	12	13
ENSG00000000625	20	20	20	18	20	19
ENSG00000000626	13	14	14	13	15	18
ENSG00000000627	13	14	11	12	14	13
ENSG00000000628	11	12	10	5	4	9
ENSG00000000629	12	10	13	11	12	11
ENSG00000000630	31	28	28	27	30	29
ENSG00000000631	22	20	19	21	19	22
ENSG00000000632	19	18	22	24	21	20
ENSG00000000633	14	16	13	11	14	13
ENSG00000000634	16	16	17	19	16	17
ENSG00000000635	11	10	10	12	9	11
ENSG00000000636	8	10	11	11	11	13
ENSG00000000637	11	12	12	13	12	11
ENSG00000000638	17	17	18	18	16	17
ENSG00000000639	14	14	17	14	12	13
ENSG00000000640	12	13	10	9	12	12
ENSG00000000641	5	8	7	6	8	6
ENSG00000000642	12	14	13	13	14	14
ENSG00000000643	12	10	10	10	9	12
ENSG00000000644	11	15	10	12	14	11
ENSG00000000645	12	11	13	32	31	33
ENSG00000000646	13	10	11	10	10	13
ENSG00000000647	13	12	10	12	13	15
ENSG00000000648	17	16	16	16	16	17
ENSG00000000649	15	19	15	14	18	15
ENSG00000000650	22	19	21	20	20	20
ENSG00000000651	13	12	12	35	34	35
ENSG00000000652	7	11	6	9	8	9
ENSG00000000653	14	14	15	14	13	16
ENSG00000000654	11	9	9	10	11	9
ENSG00000000655	10	12	11	11	10	12
ENSG00000000656	10	9	14	12	11	11
ENSG00000000657	9	8	10	7	8	8
ENSG00000000658	15	14	14	14	12	14
ENSG00000000659	7	6	9	7	6	5
ENSG00000000660	19	18	18	19	19	22
ENSG00000000661	7	8	7	11	12	12
ENSG00000000662	7	6	10	7	11	11
